Spanish word,English word,Spanish Sentence,English Sentence
perfecto,perfect,¡El clima hoy es perfecto para ir a la playa!,The weather today is perfect for going to the beach!
apetitoso,appetizing,¡Ese pastel se ve muy apetitoso!,That cake looks very appetizing!
dulce,sweet,¡Me encanta el postre dulce que preparaste!,I love the sweet dessert you made!
dulzón,sugary,El postre estaba demasiado dulzón para mi gusto.,The dessert was too sweet for my taste.
soso,bland,"El pollo estaba soso, le faltaba sal y condimentos.","The chicken was bland, it lacked salt and seasonings."
abierto/a – open,,"La puerta está abierta, puedes entrar.","""The door is open, you can come in."""
ancho/a – wide,,El río es ancho y tranquilo.,"The river is wide and calm, perfect for a relaxing boat ride."
estrecho/a – narrow,,El pasillo del tren era muy estrecho y apenas cabía una persona a la vez.,"The train aisle was very narrow, and only one person could fit through at a time."
lejano/a – far,,La luna parece estar muy lejana en el cielo esta noche.,"""The moon seems to be very distant in the sky tonight."""
cercano/a – close,,La tienda está muy cercana a mi casa.,"""The store is very close to my house."""
alegre – joyful,,Mi abuela tiene una sonrisa alegre que ilumina la habitación.,My grandmother has a cheerful smile that lights up the room.
"gracioso/a – funny, amusing",,El payaso en la fiesta era muy gracioso y nos hizo reír mucho.,The clown at the party was very funny and made us laugh a lot.
serio/a – serious,,La situación era muy seria y requería nuestra atención inmediata.,The situation was very serious and required our immediate attention.
tímido/a – shy,,El estudiante nuevo es muy tímido y le cuesta hacer amigos.,"""The new student is very shy and finds it difficult to make friends."""
valiente – brave,,El soldado demostró ser valiente durante la batalla.,The soldier proved to be brave during the battle.
loco/a – crazy,,¡Ese payaso es tan loco que siempre nos hace reír!,"""That clown is so crazy that he always makes us laugh!"""
contento(a),content,Clara estaba contenta porque aprobó el examen.,Clara was happy because she passed the exam.
feliz,happy,¡Estoy muy feliz de estar aquí ayudándote!,"""I am very happy to be here helping you!"""
preocupado(a),worried,Estoy preocupado(a) por mi examen de mañana.,I am worried about my exam tomorrow.
nervioso(a),nervous,Clara estaba nerviosa antes de su presentación en público.,Clara was nervous before her public presentation.
tranquilo(a),tranquil,¡Estoy tranquila en mi hogar leyendo un buen libro!,I am calm at home reading a good book!
calmado(a),calm,El maestro hablaba con voz calmada para tranquilizar a los estudiantes nerviosos antes del examen.,The teacher spoke with a calm voice to reassure the nervous students before the exam.
emocionado(a),excited,¡Estoy emocionada por la próxima aventura que vamos a vivir juntos!,"""I am excited for the next adventure that we are going to experience together!"""
largo/a,long,La fila para entrar al concierto era muy larga.,The line to enter the concert was very long.
corto/a,short,El vestido que compré es demasiado corto.,"""The dress that I bought is too short."""
liso/a,straight,El cabello de María es muy liso y brillante.,Maria's hair is very straight and shiny.
rizado/a,curly,Su cabello rizado le otorgaba un aspecto único y lleno de estilo.,Her curly hair gave her a unique and stylish look.
ondulado/a,wavy,El cabello de María es naturalmente ondulado.,María's hair is naturally wavy.
castaño/a,brown,El caballo tiene un hermoso pelaje castaño.,The horse has a beautiful chestnut coat.
rubio/a,blonde,"El verano pasado, conocí a un chico rubio en la playa.","Last summer, I met a blond guy at the beach."
pelirrojo/a,red,El chico pelirrojo tiene pecas en la cara.,The red-haired boy has freckles on his face.
negro/a,black,El gato negro cruzó la calle en la noche.,The black cat crossed the street at night.
canoso/a,grey,"Por lo general, las personas mayores suelen tener el cabello canoso.","""Generally, elderly people tend to have gray hair."""
abundante,thick,El río estaba lleno de agua abundante después de la lluvia.,"""The river was full of abundant water after the rain."""
fino/a,thin,¡El vino fino español es muy apreciado en todo el mundo!,Spanish fine wine is highly valued around the world!
escalado/a,layered,El monte fue escalado por un grupo de valientes alpinistas.,The mountain was climbed by a group of brave mountaineers.
teñido/a,dyed,La camiseta blanca quedó teñida de color rosa por accidente.,The white shirt got dyed pink by accident.
saludable,healthy,Es importante mantener una dieta balanceada y hacer ejercicio regularmente para llevar un estilo de vida saludable.,It is important to maintain a balanced diet and exercise regularly to lead a healthy lifestyle.
claro/a,light,¡Por supuesto! Claro que te puedo ayudar con eso.,¡Por supuesto! Claro que te puedo ayudar con eso. Just let me know what you need assistance with.
encrespado/a,frizzy,El viento fuerte hizo que el cabello de la chica se pusiera encrespado.,The strong wind made the girl's hair become frizzy.
brillante,shiny,El sol brillante ilumina el cielo azul.,"""The bright sun illuminates the blue sky."""
calvo/a,bald,El hombre calvo llevaba un sombrero para protegerse del sol.,The bald man wore a hat to protect himself from the sun.
grande – big,,El elefante tiene orejas grandes.,The elephant has large ears.
pequeño/a – small,,El gatito es muy pequeño y tierno.,The kitten is very small and adorable.
enorme – huge,,El elefante tenía unas orejas enormes.,The elephant had enormous ears.
delgado/a,lean,El vestido que llevaba era de un material muy fino y me hacía ver más delgada.,"""The dress I was wearing was made of a very fine material and it made me look slimmer."""
esbelto/a,slender,La modelo tenía una figura esbelta y elegante en la pasarela.,"""The model had a slender and elegant figure on the runway."""
flaco/a,skinny,Clara es una chica flaca y alta.,Clara is a tall and thin girl.
menudo/a,petite,¡Hoy comí un delicioso menudo en el almuerzo!,Today I ate a delicious menudo for lunch!
alto/a,tall,El árbol alto proporciona sombra en el parque.,"""The tall tree provides shade in the park."""
bajo/a,short,El gato duerme bajo la mesa.,"""The cat sleeps under the table."""
hermoso/a,beautiful,"Claro, aquí tienes una oración: ""El jardín del parque es hermoso en primavera.""","Of course, here is a sentence: ""The park garden is beautiful in spring."""
guapo/a,handsome,¡Ese chico es tan guapo que todas las chicas se enamoran de él!,That boy is so handsome that all the girls fall in love with him!
feo/a,ugly,La película que vi ayer era muy fea.,The movie I watched yesterday was very ugly.
adorable,cute,¡Ese cachorrito es tan adorable!,That puppy is so adorable!
bonita,pretty,¡Esa flor es muy bonita!,That flower is very beautiful!
impresionante,stunning,La vista desde la montaña es impresionante.,The view from the mountain is impressive.
poco atractivo/a,plain,El restaurante tenía un menú poco atractivo para los clientes.,The restaurant had an unappealing menu for the customers.
promedio/a,average,El promedio de edad de los estudiantes en la clase es de 20 años.,The average age of the students in the class is 20 years.
atractivo/a,attractive,El nuevo restaurante en el centro de la ciudad es muy atractivo y tiene una decoración excelente.,The new restaurant in the city center is very attractive and has excellent decor.
negro,black,El perro es negro y muy juguetón.,The dog is black and very playful.
marrón / café,brown,El oso de peluche es de color marrón.,The teddy bear is brown in color.
gris,grey,El cielo está gris y nublado hoy.,"""The sky is gray and cloudy today."""
blanco,white,El gato blanco persigue a la mariposa.,The white cat chases the butterfly.
amarillo,yellow,El sol brilla en un cielo amarillo.,The sun shines in a yellow sky.
anaranjado,orange,El sol se pone de un tono anaranjado al atardecer.,The sun turns a shade of orange at sunset.
rojo,red,El vestido que llevaba era de color rojo.,The dress she was wearing was red.
rosado,pink,El vestido que llevaba la niña era rosado y muy bonito.,The dress that the girl was wearing was pink and very beautiful.
morado / púrpura,purple,El vestido que compré para la fiesta es de un color morado brillante.,"""The dress I bought for the party is a bright purple color."""
azul,blue,El cielo está azul y despejado.,The sky is blue and clear today.
verde,green,El pasto en el jardín es muy verde.,"""The grass in the garden is very green."""
colorear,to color,A los niños les encanta colorear dibujos en sus cuadernos de actividades.,Children love coloring pictures in their activity notebooks.
construir,to construct,Voy a construir una casa en el campo.,I am going to build a house in the countryside.
cortar,to cut,Voy a cortar las verduras para la ensalada.,"""I am going to chop the vegetables for the salad."""
coser,to sew,Voy a coser un botón en mi camisa.,I am going to sew a button on my shirt.
dibujar,to draw,Me gusta mucho dibujar paisajes en mi tiempo libre.,I really enjoy drawing landscapes in my free time.
pintar,to paint,Voy a pintar un cuadro este fin de semana.,I'm going to paint a picture this weekend.
cero,zero,El equipo de fútbol perdió por cero goles a cero en el partido de hoy.,The soccer team lost by zero goals to zero in today's match.
uno,one,"Claro, aquí tienes: ""Uno de mis amigos cumplirá años la próxima semana.""","Of course, here you go: ""One of my friends will have their birthday next week."""
dos,two,Mañana tengo dos reuniones importantes en la oficina.,"""Tomorrow I have two important meetings at the office."""
tres,three,Hay tres gatos en el jardín.,There are three cats in the garden.
cuatro,four,El equipo de fútbol anotó cuatro goles durante el partido.,The soccer team scored four goals during the game.
cinco,five,Hoy es martes cinco de octubre.,"Today is Tuesday, the fifth of October."
seis,six,El juego de cartas tiene seis jugadores.,"""The card game has six players."""
siete,seven,El reloj marca las siete en punto.,"""The clock strikes seven on the dot."""
ocho,eight,El reloj marcó las ocho en punto.,The clock struck eight o'clock on the dot.
nueve,nine,La reunión comenzará a las nueve de la mañana. (The meeting will start at nine in the morning.),"La reunión comenzará a las nueve de la mañana, así que asegúrate de llegar a tiempo para no perderte ninguna información importante."
diez,ten,Él tiene diez años de edad.,He has ten years of age.
This animal vocab will help you talk about animals both on land and in the ocean!,,Este vocabulario de animales te ayudará a hablar sobre animales tanto en tierra como en el océano.,This animal vocabulary will help you talk about animals both on land and in the ocean.
el gato,cat,El gato negro cruzó la calle en la noche.,El gato negro cruzó la calle en la noche y desapareció en la oscuridad.
el perro,dog,El perro corre feliz en el parque.,The dog runs happily in the park.
el conejo,rabbit,El conejo saltó por el prado verde.,The rabbit jumped through the green meadow.
el pollo,chicken,Ayer cociné el pollo asado para la cena.,"Yesterday, I cooked roasted chicken for dinner."
la gallina,hen,La gallina puso un huevo en el nido.,The hen laid an egg in the nest.
el gallo,rooster,El gallo canta al amanecer.,"Sure! Here is a sentence for you: ""In the countryside, el gallo canta al amanecer, waking up everyone with its crowing."""
la vaca,cow,La vaca está pastando en el campo.,The cow is grazing in the field.
el toro,bull,El toro bravo embistió al matador en la plaza.,"""El toro bravo embistió al matador en la plaza"" translates to ""The brave bull charged at the bullfighter in the arena"" in English."
la oveja,sheep,La oveja blanca corre por el campo.,"""The white sheep runs through the field."""
el caballo,horse,El caballo galopaba libre y feliz por el prado.,The horse galloped freely and happily through the meadow.
el cerdo,pig,El cerdo es un animal que se cría principalmente para obtener carne.,The pig is an animal that is mainly raised to obtain meat.
la cabra,goat,La cabra se escapó del corral y ahora está pastando en el campo.,The goat escaped from the pen and is now grazing in the field.
el burro,donkey,El burro es un animal resistente y trabajador.,"""The donkey is a resilient and hardworking animal."""
el ratón,mouse,El ratón corre rápido por el campo.,The mouse runs fast through the field.
el ciervo,deer,El ciervo corre velozmente por el bosque en busca de alimento.,The deer runs swiftly through the forest in search of food.
el mapache,raccoon,El mapache es un animal nocturno y astuto que habita en América.,The raccoon is a nocturnal and cunning animal that inhabits America.
la ardilla -,squirrel,La ardilla saltó de rama en rama en busca de nueces.,The squirrel jumped from branch to branch in search of nuts.
el búho,owl,El búho es un ave nocturna que simboliza la sabiduría en muchas culturas.,The owl is a nocturnal bird that symbolizes wisdom in many cultures.
el zorro,fox,El zorro es un astuto animal que vive en los bosques.,"""The fox is a cunning animal that lives in the forests."""
el lobo,wolf,El lobo aúlla en la oscuridad de la noche.,"""The wolf howls in the darkness of the night."""
el oso,bear,El oso pardo es un animal grande y fuerte que habita en los bosques.,"""The brown bear is a large and strong animal that lives in the forests."""
el cangrejo,crab,El cangrejo se escondió debajo de una roca en la playa.,The crab hid under a rock on the beach.
la medusa,jellyfish,La medusa de agua-viva es una criatura marina fascinante.,The jellyfish is a fascinating marine creature.
el delfín,dolphin,El delfín es un mamífero marino muy inteligente y juguetón.,The dolphin is a very intelligent and playful marine mammal.
la ballena,whale,¡En el océano pacífico vi a la ballena nadando tranquilamente!,"In the Pacific Ocean, I saw the whale swimming peacefully!"
el tiburón,shark,El tiburón nada en el mar.,The shark swims in the sea.
la foca,seal,La foca es un mamífero marino que vive en el océano.,The seal is a marine mammal that lives in the ocean.
el lobo marino,sea lion,El lobo marino descansaba en la playa bajo el sol.,The sea lion was resting on the beach under the sun.
la morsa,walrus,La morsa es un animal marino muy grande y poderoso.,The walrus is a very large and powerful marine animal.
el pingüino,penguin,El pingüino es un animal que vive en los climas fríos de la Antártida.,The penguin is an animal that lives in the cold climates of Antarctica.
el viaje,trip,Disfrutamos mucho de el viaje que hicimos a la playa el verano pasado.,"""We really enjoyed the trip we took to the beach last summer."""
el equipaje,bags,El equipaje está listo para nuestro viaje de vacaciones.,"""The luggage is ready for our holiday trip."""
la salida,exit,La salida del edificio está en la parte trasera.,The exit of the building is at the back.
la llegada,arrival,La llegada de mi familia al aeropuerto fue emocionante.,The arrival of my family at the airport was exciting.
los documentos de identidad,id papers,Necesitas llevar los documentos de identidad para poder viajar internacionalmente.,You need to bring your identification documents in order to travel internationally.
el billete de avión,boarding pass,Necesito comprar el billete de avión para mi viaje a España.,I need to buy the plane ticket for my trip to Spain.
el hotel,hotel,"Claro, aquí tienes una oración: ""El hotel donde nos hospedamos durante las vacaciones era muy lujoso y cómodo.""","Claro, here is a sentence: ""The hotel where we stayed during the vacation was very luxurious and comfortable."""
el permiso de conducir,driver’s license,"Claro, aquí tienes una frase: ""Mi hermana acaba de obtener el permiso de conducir y ahora podrá manejar por su cuenta"".","""Of course, here is a sentence: 'Mi hermana acaba de obtener el permiso de conducir y ahora podrá manejar por su cuenta'."""
echar gasolina,to get gas,"Claro, aquí tienes un ejemplo de una oración en español usando la expresión 'echar gasolina': ""Mañana tengo que parar en la gasolinera para echar gasolina antes de emprender el viaje"".","Of course, here is an example sentence in English using the expression 'echar gasolina': ""Tomorrow, I have to stop at the gas station to fill up with gas before starting the road trip.""."
viajar,to travel,"Claro, aquí tienes una oración: Me encanta viajar y explorar nuevos lugares.","Of course, here is a sentence: I love traveling and exploring new places."
volver,to return,"Por la tarde, volveré a casa para descansar.","In the evening, I will return home to rest."
ir,to go,Voy a la tienda a comprar comida para la cena.,I am going to the store to buy food for dinner.
salir,to leave,"Claro, aquí tienes: ""Vamos a salir a comer pizza esta noche.""","""Of course, here you go: 'We are going out to eat pizza tonight.'"""
parar,to stop,No puedo parar de reírme viendo esa comedia.,I can't stop laughing while watching that comedy.
partir,to depart,Clara va a partir temprano mañana para llegar a tiempo a la reunión.,"Sure, here is the sentence: ""Clara is going to leave early tomorrow to arrive on time for the meeting."""
porter(a),doorman,La portería del equipo de fútbol está impecable para el próximo partido.,The soccer team's goal post is immaculate for the next match.
hostia,hostess,"Sure, here is a sentence for you: ""El pan de este restaurante es una hostia, ¡es increíble!""","Sure, here is a sentence for you: ""The bread from this restaurant is amazing, it's incredible!"""
botones,bellhop,Los botones de la camisa están todos desabrochados.,The buttons of the shirt are all unbuttoned.
anfitriona,airline hostess,La anfitriona preparó una deliciosa cena para sus invitados.,"""The hostess prepared a delicious dinner for her guests."""
el avión,airplane,El avión despegó del aeropuerto rumbo a su destino.,The airplane took off from the airport headed to its destination.
el coche,car,El coche rojo está aparcado en la calle.,The red car is parked on the street.
la bicicleta,bicycle,Clara montó en la bicicleta para dar un paseo por el parque.,Clara got on the bicycle to take a ride through the park.
la motocicleta,motorcycle,Clara compró una motocicleta nueva esta mañana.,Clara bought a new motorcycle this morning.
el tren,train,"Me encanta viajar en el tren, es una experiencia muy relajante.","""I love traveling by train, it's a very relaxing experience."""
el metro/subte,subway,"Claro, aquí tienes una frase: ""Voy a tomar el metro para ir al centro de la ciudad.""","Claro, here is a sentence: ""I am going to take the subway to go to the city center."""
el autobús,bus,Tomaré el autobús para ir al centro.,"""I will take the bus to go downtown."""
el barco,ship,El barco zarpará mañana hacia Puerto Rico.,"""The ship will set sail tomorrow for Puerto Rico."""
taxista,taxi driver,El taxista nos llevó al aeropuerto rápidamente.,The taxi driver took us to the airport quickly.
revisor(a),train conductor,El revisor de la obra literaria encontró varios errores ortográficos.,The literary work reviewer found several spelling errors.
dependiente de gas,gas station attendant,El calentador de agua es dependiente de gas para funcionar correctamente.,The water heater is gas-powered and relies on gas to function properly.
conductor(a),"driver, chauffeur",El conductor del autobús nos llevó de manera segura a nuestro destino.,"""The bus driver took us safely to our destination."""
camionero(a),truck driver,El camionero entregó la carga a tiempo.,"""The truck driver delivered the cargo on time."""
el sol,the sun,"Claramente, el sol brilla con fuerza en el cielo despejado de verano.","Clearing, the sun shines brightly in the clear summer sky."
las nubes,the clouds,Las nubes cubren el cielo en un día nublado.,"""The clouds cover the sky on a cloudy day."""
la niebla,the fog,"""La niebla cubría el paisaje, dándole un aire misterioso y mágico.""","""The fog covered the landscape, giving it a mysterious and magical atmosphere."""
la neblina,the mist,"Por la mañana, la neblina cubre el paisaje creando un ambiente misterioso y tranquilo.","In the morning, the mist covers the landscape creating a mysterious and tranquil atmosphere."
la lluvia,the rain,"Claro, aquí tienes una frase: ""Me encanta escuchar el sonido de la lluvia caer en las noches de verano"".","Of course, here is a sentence: ""I love listening to the sound of the rain falling on summer nights."""
la llovizna,the drizzle,"Salió de casa con su paraguas por si empezaba a llover, pero solo se encontró con la llovizna.","She left home with her umbrella in case it started raining, but she only encountered a drizzle."
la tormenta,the storm,¡La tormenta fue muy fuerte ayer por la noche!,The storm was very strong last night!
el tornado,the tornado,¡El tornado causó gran destrucción en la ciudad!,"¡El tornado causó gran destrucción en la ciudad, dejando a muchas familias sin hogar!"
el trueno,the thunder,El trueno retumbó tan fuerte que hizo temblar las ventanas de la casa.,The thunder rumbled so loudly that it made the windows of the house shake.
el relámpago,the lightning strike,"Durante la tormenta, el relámpago iluminaba el cielo con su luz brillante.","During the storm, the lightning illuminated the sky with its bright light."
el rayo,the lightning bolt,El rayo iluminó el cielo durante la tormenta.,"""The lightning illuminated the sky during the storm."""
el viento,the wind,El viento sopla suavemente a través de los árboles.,"""The wind gently blows through the trees."""
la brisa,the breeze,Disfruté de la suave brisa marina mientras caminaba por la playa.,I enjoyed the gentle sea breeze while walking along the beach.
el granizo,the hail,El granizo dañó los cultivos en el campo.,The hail damaged the crops in the field.
el hielo,the ice,El hielo es frío y transparente.,The ice is cold and transparent.
la nieve,the snow,"Durante el invierno, me gusta jugar en la nieve con mis amigos.","During the winter, I enjoy playing in the snow with my friends."
el calor,the heat,"En verano, el calor puede ser insoportable en algunas regiones.","En verano, el calor puede ser insoportable en algunas regiones, haciendo que sea difícil disfrutar de actividades al aire libre."
el frío,the cold,Me gusta abrigarme bien cuando hace el frío.,"""I like to bundle up warmly when it's cold."""
la humedad,the humidity,"""La humedad en el ambiente está causando que la ropa tarde más en secarse.""","""The humidity in the air is causing the clothes to take longer to dry."""
la temperatura,the temperature,La temperatura está subiendo en el transcurso del día.,The temperature is rising throughout the day.
el pronóstico,the forecast,El pronóstico del tiempo para mañana es soleado y caluroso.,The weather forecast for tomorrow is sunny and hot.
llover,to rain,"Claro, aquí tienes: ""Ayer comenzó a llover inesperadamente mientras estábamos de paseo.""","Of course, here you go: ""Yesterday it unexpectedly started raining while we were out for a walk."""
lloviznar,to drizzle,Hoy va a lloviznar por la tarde en la ciudad.,Today it is going to drizzle in the city in the afternoon.
diluviar,to pour down,Hoy está pronosticado que va a diluviar en la ciudad.,Today it is forecasted that it is going to pour in the city.
granizar,to hail,¡Ayer granizó mucho en mi ciudad y dejó el suelo completamente blanco!,Yesterday it hailed a lot in my city and left the ground completely white!
nevar,to snow,Hoy está nevando mucho en la montaña.,Today it's snowing heavily in the mountains.
el invierno,winter,"En el invierno, me gusta quedarme en casa con una taza de chocolate caliente.","In winter, I like to stay at home with a cup of hot chocolate."
la primavera,spring,"Claro, aquí tienes una oración: ""Me encanta salir a disfrutar de la naturaleza durante la primavera.""","Of course, here is a sentence: ""I love going out to enjoy nature during the spring."""
el verano,summer,Disfruto del sol y la playa durante el verano.,I enjoy the sun and the beach during the summer.
el otoño,fall,"En el otoño, las hojas de los árboles cambian de color y caen al suelo.","In the fall, the leaves of the trees change color and fall to the ground."
carta de motivación,cover letter,La carta de motivación es fundamental para destacar tus habilidades y experiencias en una solicitud de empleo.,The cover letter is essential to highlight your skills and experiences in a job application.
el cv,resume,El cv es un documento importante para presentar tus habilidades y experiencia laboral a posibles empleadores.,"""The resume is an important document to showcase your skills and work experience to potential employers."""
la firma,firm,"Claro, aquí tienes una oración: ""Antes de enviar el contrato, asegúrate de que la firma esté completa"".","""Make sure the signature is complete before sending the contract."""
el negocio,business,"Claro, aquí tienes: ""El negocio de mi abuelo ha estado en la familia por generaciones"".","""Sure, here you go: 'My grandfather's business has been in the family for generations.'"""
la compañía,company,Me encanta trabajar en la compañía de mis amigos.,I love working at the company with my friends.
el jefe,boss,El jefe me dio una tarea importante para completar hoy.,"""The boss gave me an important task to complete today."""
el empleado,employee,El empleado es muy trabajador y amable con los clientes.,The employee is very hardworking and friendly with the customers.
trabajar,to work,"Claro, aquí tienes una oración en español usando la palabra 'trabajar': ""Me gusta trabajar en equipo para lograr nuestros objetivos"".","Of course, here is a sentence in English using the word 'work': ""I enjoy working as a team to achieve our goals.""."
negociar,to negotiate,Vamos a negociar los términos del contrato mañana.,Let's negotiate the terms of the contract tomorrow.
consultor(a),consultant,El consultor financiero ayudó a la empresa a mejorar sus estrategias de inversión.,"""The financial consultant helped the company improve its investment strategies."""
dueño(a),owner,El dueño del restaurante es muy amable con sus clientes.,The restaurant owner is very kind to his customers.
abogado(a),lawyer,El abogado presentó un caso sólido en el juicio.,"""The lawyer presented a solid case in court."""
arquitecto(a),architect,El arquitecto diseñó un hermoso edificio moderno.,The architect designed a beautiful modern building.
bombero(a),fireman,El bombero apagó el incendio rápidamente.,The firefighter quickly put out the fire.
campesino(a),farm worker,El campesino cultivaba la tierra con sus propias manos.,The peasant cultivated the land with his own hands.
carpintero(a),carpenter,El carpintero está construyendo una nueva mesa para la cocina.,"""The carpenter is building a new table for the kitchen."""
cartero(a),postal worker,El cartero entregó las cartas en el vecindario.,The mailman delivered the letters in the neighborhood.
casero(a),landlord,La sopa casera de mi abuela es la mejor que he probado.,"""The homemade soup from my grandmother is the best I have ever tasted."""
científico(a),scientist,El investigador es reconocido por su labor científica en el campo de la biología.,The researcher is recognized for his scientific work in the field of biology.
cocinero(a),"cook, chef",El cocinero preparó un delicioso platillo para la cena.,The chef prepared a delicious dish for dinner.
consejero (a),counselor,El consejero escolar ayuda a los estudiantes a resolver sus problemas emocionales.,The school counselor helps students solve their emotional problems.
constructor (a),construction worker,El constructor estaba supervisando la obra de construcción.,The builder was supervising the construction site.
contador(a),accountant/bookkeeper,El contador revisó los registros financieros de la empresa.,The accountant reviewed the company's financial records.
doméstico(a),maid,El gato es un animal doméstico muy cariñoso.,"Sure! Here is a sentence in English using the translated phrase ""The cat is a very affectionate domestic animal."": ""I love coming home to my cat because she is a very affectionate domestic animal."""
detective,detective,El detective investigó el misterioso caso hasta encontrar al culpable.,The detective investigated the mysterious case until finding the culprit.
"director, revisor, redactor(a)",editor,El director revisó el trabajo del redactor para asegurarse de que estaba correcto.,The director reviewed the writer's work to ensure it was correct.
electricista,electrician,El electricista instaló nuevos enchufes en la cocina.,The electrician installed new outlets in the kitchen.
escritor / autor(a),writer / author,El escritor escribió una novela muy interesante.,The writer wrote a very interesting novel.
"vaquero, tropero(a)",cowboy,El vaquero y la tropera cabalgaban juntos por las praderas del oeste.,"""The cowboy and the cowgirl rode together through the western meadows."""
manejador(a),manager,El manejador del restaurante supervisa el desempeño de los empleados.,The restaurant manager supervises the performance of the employees.
granjero(a),farmer,El granjero cuida de sus animales todos los días.,The farmer takes care of his animals every day.
ingeniero(a),engineer,Clara es una ingeniera eléctrica muy talentosa.,Clara is a very talented electrical engineer.
jardinero(a),gardener,El jardinero está plantando flores en el jardín.,The gardener is planting flowers in the garden.
jefe,boss,El jefe de la empresa está planeando una reunión importante.,The boss of the company is planning an important meeting.
juez,judge,El juez dictó sentencia a favor del demandante en el juicio.,The judge ruled in favor of the plaintiff in the trial.
lavandero(a),laundry person,La lavandera está lavando la ropa en el río.,The washerwoman is washing the clothes in the river.
marinero(a),merchant marine,El marinero navegaba con valentía en alta mar.,The sailor navigated bravely in the high seas.
mecánico (a),mechanic,El mecánico arregló mi coche esta mañana.,The mechanic fixed my car this morning.
camarero(a),waiter,El camarero me sirvió una deliciosa comida en el restaurante.,The waiter served me a delicious meal at the restaurant.
padre,priest,Mi padre es muy trabajador y cariñoso.,"""My father is very hardworking and affectionate."""
panadero(a),baker,El panadero hornea pan fresco cada mañana en la panadería.,The baker bakes fresh bread every morning at the bakery.
pastor(a),pastor/minister,La pastora cuida a las ovejas en el campo.,"""The shepherdess takes care of the sheep in the field."""
periodista,reporter/journalist,El periodista cubrió la noticia en vivo desde la escena del crimen.,The journalist covered the news live from the crime scene.
pescador(a),fisherman,¡El pescador atrapó un pez muy grande en el río!,The fisherman caught a very big fish in the river!
pintor(a),painter,El pintor está creando una obra maestra en su estudio.,The painter is creating a masterpiece in his studio.
plomero(a),plumber,El plomero arregló la tubería en mi casa ayer.,The plumber fixed the pipe in my house yesterday.
Policía,policeman,La policía detuvo al ladrón en el centro comercial.,The police arrested the thief at the shopping mall.
programador(a),computer programmer,El programador creó un nuevo software muy avanzado.,The programmer created a very advanced new software.
dueño(a),owner,El dueño del restaurante fue muy amable con los clientes.,The restaurant owner was very kind to the customers.
químico(a),chemist,La investigadora está realizando pruebas químicas en el laboratorio.,The researcher is conducting chemical tests in the laboratory.
ranchero(a),rancher,Ayer fuimos a comer a un restaurante mexicano y pedí tacos rancheros.,Yesterday we went to eat at a Mexican restaurant and I ordered rancheros tacos.
rebuscador(a),researcher,El chef era un rebuscador de ingredientes exóticos para sus platillos.,The chef was a seeker of exotic ingredients for his dishes.
reparador(a),repairman,El técnico reparador arregló la lavadora en poco tiempo.,"""The repair technician fixed the washing machine in no time."""
técnico(a) de laboratorio,lab technician,El técnico de laboratorio realizó pruebas clínicas para diagnosticar la enfermedad.,The laboratory technician conducted clinical tests to diagnose the illness.
trabajador(a) de fábrica,factory worker,El trabajador de fábrica lleva años dedicado a su labor con esfuerzo y dedicación.,The factory worker has been dedicated to his work with effort and dedication for years.
veterinario(a),veterinarian,El veterinario salvó la vida de mi perrito enfermo.,"""The veterinarian saved the life of my sick little dog."""
ir al gimnasio,go to the gym,"Claro, aquí tienes: ""Mañana voy a ir al gimnasio para hacer ejercicio"".","Of course, here you go: ""Tomorrow I am going to the gym to exercise."""
ir de caminata,go hiking,Vamos a ir de caminata por el bosque este fin de semana.,"""Let's go for a hike in the forest this weekend."""
levantar pesas,lift weight,"Por las mañanas, me gusta levantar pesas en el gimnasio para mantenerme en forma.","In the mornings, I like to lift weights at the gym to stay in shape."
mantenerse en forma,to stay in shape,Es importante mantenerse en forma para tener una vida saludable.,It is important to stay in shape in order to have a healthy life.
practicar,to practice,Me gusta practicar el piano todos los días.,I like to practice the piano every day.
nadar,to swim,A mí me gusta nadar en el mar durante el verano.,A mí me gusta nadar en el mar durante el verano porque es refrescante y relajante.
el yoga,yoga,Practicar el yoga me ayuda a relajarme y mantener la calma.,Practicing yoga helps me relax and stay calm.
el fútbol,soccer,A mi hermano le encanta jugar al fútbol los fines de semana con sus amigos.,My brother loves playing soccer on the weekends with his friends.
el fútbol americano,football,A muchos estadounidenses les encanta ver el fútbol americano los domingos por la tarde.,Many Americans love to watch American football on Sunday afternoons.
el béisbol,baseball,A mi papá le encanta ver el béisbol los domingos por la tarde.,My dad loves to watch baseball on Sunday afternoons.
el baloncesto,basketball,A mí me gusta jugar el baloncesto con mis amigos los fines de semana.,"""A mí me gusta jugar el baloncesto con mis amigos los fines de semana porque es una divertida forma de pasar el tiempo juntos""."
el golf,golf,A Juan le gusta jugar al golf los fines de semana con sus amigos.,Juan enjoys playing golf on the weekends with his friends.
el hockey,hockey,A mí me encanta ver el hockey en la televisión.,"Sure! Here is a sentence using the phrase 'A mí me encanta ver el hockey en la televisión.': 

A mí me encanta ver el hockey en la televisión porque me emociona ver a los jugadores en acción."
el tenis,tennis,¿Jugaste el tenis con tus amigos este fin de semana?,"""Did you play tennis with your friends this weekend?"""
el voleibol,volleyball,Me gusta jugar el voleibol en la playa con mis amigos los fines de semana.,I like playing volleyball on the beach with my friends on the weekends.
